"","x"
"1",2.2094161873783
"2",6.46850567930373
"3",1.84332602409428
"4",4.325199491153
"5",7.27366966136835
"6",1.03705963092878
"7",2.03570409360434
"8",0.0298329355608592
"9",0.929488630362289
"10",1.37100713869234
"11",2.21147808614844
"12",1.34720455055759
"13",1.87750100815833
"14",3.15304768594396
"15",1.92768319444644
"16",2.9282197460482
"17",1.88686616141886
"18",0.0392490351278864
"19",0.0119688809096349
"20",0.0236183278223902
"21",1.22089393483941
"22",3.17472947167409
"23",0
"24",0.847081387295555
"25",1.63826928245095
"26",1.74112881237097
"27",1.56327135099556
"28",1.4435423063894
"29",1.25998921410011
"30",2.75984301810356
"31",0.736395127947257
"32",0.00746101619040513
"33",0.943943338721419
"34",1.37049907135582
"35",1.07534564681505
"36",2.39144809345382
"37",0
"38",1.07008609191221
"39",2.980368529397
"40",0.848389630793401
"41",1.26027351678701
"42",0.655783989117322
"43",1.03336840523072
"44",2.64719736222327
"45",1.57759726378794
"46",1.075219869262
"47",2.64978770246894
"48",2.79700404587555
"49",0
"50",0.0262103568352866
"51",0.725932544114362
"52",3.49474847982311
"53",0.762464082270505
"54",3.1369573822404
"55",2.38548909950261
"56",9.20470350233911
"57",1.07816423572154
"58",7.67290309018289
"59",1.30903248164834
"60",1.29656683710738
"61",2.62574836185358
"62",0.641025641025641
"63",1.81467485435365
"64",1.4439449666258
"65",1.70613462614208
"66",2.02937193160657
"67",10.7882028285616
"68",1.52877697841727
"69",3.05062891787718
"70",2.13394151550511
