"","x"
"1",2.89148761353788
"2",2.16846142498894
"3",3.23324626311513
"4",2.0700821094021
"5",2.14236351071182
"6",1.74915826890815
"7",4.94577797507689
"8",0
"9",4.94771626454212
"10",9.28502765652332
"11",5.60969483862866
"12",7.16637976199386
"13",2.38545770388063
"14",1.27214547724967
"15",12.1010886246612
"16",0.673749676081887
"17",2.2208766309868
"18",0.0228952704912671
"19",0.0239377618192699
"20",0
"21",4.98647305015377
"22",4.9661271255797
"23",0
"24",1.52012928202305
"25",6.20693361999462
"26",5.83362546904011
"27",7.38381250146924
"28",2.53412158101212
"29",4.71883120066676
"30",0.481073553614382
"31",1.95552575706783
"32",0
"33",2.32715965598509
"34",5.41759031813552
"35",4.19599156871852
"36",0.85837435407636
"37",0
"38",3.34970292227477
"39",4.64326956871015
"40",2.60015710919089
"41",2.24104082787076
"42",1.31926798593465
"43",4.78105115486748
"44",2.37399905793688
"45",2.96707994869602
"46",1.97836814217302
"47",7.21418462022331
"48",3.4724312033972
"49",0
"50",0.209682854682293
"51",0.513736877373241
"52",7.28468767274737
"53",0.669204012703534
"54",3.46351761446101
"55",4.6967409863651
"56",0.227588822860033
"57",1.99497782764332
"58",0.693714525961741
"59",1.06014303267068
"60",1.98928658388118
"61",2.82374015933626
"62",0.897435897435897
"63",1.87372067390962
"64",2.28851655087863
"65",6.47647460998198
"66",5.25435923480616
"67",0.870989996550535
"68",1.66053203948469
"69",4.73780228522832
"70",7.18503588982002
