"","x"
"1",3.28429772530305
"2",0.390913114028618
"3",1.13395126979828
"4",0.277552908523187
"5",0.872494816862474
"6",1.24939876350582
"7",2.29809430193106
"8",0
"9",2.14717909254146
"10",1.50180437146414
"11",3.88672610825066
"12",1.91228201481925
"13",0.923628129168347
"14",0.241941777881839
"15",1.63365413576971
"16",0.20730759264058
"17",1.45128525666068
"18",0
"19",0.0119688809096349
"20",0
"21",1.33188429255208
"22",1.10484677639356
"23",0
"24",2.01736783221751
"25",0.961031980650363
"26",1.00105168854439
"27",2.23794635510943
"28",0.251335904973173
"29",0.601804186890229
"30",0.759589821496392
"31",0.408984244049614
"32",0
"33",0.645336426341572
"34",1.90671619435624
"35",1.14501089635954
"36",2.16614013175618
"37",0
"38",1.40354068145992
"39",1.59763016518552
"40",0.708562450903378
"41",0.892589758094034
"42",0.681450681450681
"43",0.806653639961922
"44",1.80405087140838
"45",2.92646430098333
"46",0.882208343196344
"47",1.41924830948262
"48",0.71387969371719
"49",0
"50",0.0149773467630209
"51",1.05725560271015
"52",7.08678828081813
"53",0.31002671774966
"54",2.10120068610635
"55",0.801761896513326
"56",0.897711467947907
"57",1.28866805577817
"58",1.06159344124448
"59",1.26019974165905
"60",3.20428536644753
"61",0.626974025361806
"62",2.43589743589744
"63",2.58227050858133
"64",0.823519213384354
"65",1.47616383864752
"66",2.6367022177078
"67",0.215591583304588
"68",2.08716747532207
"69",0.784604200101505
"70",2.09858208691348
