"","x"
"1",2.53469447477124
"2",0.140138663519693
"3",3.69800903317113
"4",0.971435179831155
"5",0.302349689011748
"6",9.17868162034702
"7",5.39525002378159
"8",0
"9",5.82590195102078
"10",5.96151724790015
"11",1.9012934823559
"12",5.74058827932041
"13",7.28045413655117
"14",1.07703114024819
"15",6.29652471995525
"16",0.725576574242032
"17",6.96929447613095
"18",0
"19",0.0359066427289048
"20",0
"21",1.22205008439892
"22",2.39269800854779
"23",0
"24",5.25297011241143
"25",7.95485084654663
"26",3.16285591866942
"27",1.10369308164273
"28",5.26275529717739
"29",3.12913663774084
"30",0.759589821496392
"31",6.73706559392111
"32",0
"33",1.06116506052343
"34",5.59732790126415
"35",5.61609088635633
"36",7.34210075184287
"37",0
"38",15.0266763671638
"39",5.81212029924185
"40",1.21759622937942
"41",11.4331347951952
"42",8.61502528169195
"43",1.55568916278371
"44",1.67216203485634
"45",5.45959811885421
"46",7.92712904459295
"47",7.5208366095298
"48",4.38860467449092
"49",0
"50",0.0898640805781256
"51",8.7595860323133
"52",1.72802653399668
"53",1.00947723950194
"54",8.13596780577913
"55",8.82185543540125
"56",0.632191174611202
"57",4.42912859966875
"58",0.0525541307546773
"59",1.1908887558678
"60",1.06525444363282
"61",0.0801395370763211
"62",0.641025641025641
"63",3.48370335380255
"64",10.6809822788572
"65",1.79936602647772
"66",9.63475537497884
"67",0.0517419799931011
"68",1.10841559310691
"69",4.56634157716418
"70",2.51051943000601
