"","x"
"1",13.2936396276745
"2",1.72591827703201
"3",3.3974857382477
"4",1.06395281600555
"5",3.8441603317208
"6",2.6665571731913
"7",2.6207312046168
"8",0.00596658711217184
"9",2.64361052012132
"10",3.01936744567187
"11",4.85746577922893
"12",3.57944764613427
"13",3.80851195830878
"14",1.32677749161008
"15",5.50049482939143
"16",1.34749935216377
"17",2.59395265255098
"18",0.00981225878197161
"19",0
"20",0
"21",2.08338150623165
"22",1.66068018550514
"23",0
"24",3.89621921116656
"25",3.40446116635313
"26",1.89174099897428
"27",2.78685441594772
"28",0.116925834052737
"29",0.973182330734912
"30",0.481073553614382
"31",2.80031288412113
"32",0
"33",2.35307182606764
"34",4.21035288478821
"35",1.51477260548033
"36",1.31878627580633
"37",0
"38",3.1511458712259
"39",1.13571320982076
"40",2.78868813825609
"41",0.761155292316907
"42",0.275916942583609
"43",0.478480885815923
"44",7.07018370230805
"45",1.94955109020949
"46",0.812105100238533
"47",1.44087120616449
"48",1.50968000802488
"49",0
"50",0.0112330100722657
"51",0.569577842305115
"52",3.96351575456053
"53",0.448656550889751
"54",2.17541892070194
"55",1.6926084481948
"56",1.12530029080794
"57",0.532136560346209
"58",0.725247004414547
"59",0.581267130840238
"60",6.45118091064037
"61",0.890963088672041
"62",1.15384615384615
"63",2.83026295071642
"64",0.490396403759706
"65",1.13120765740568
"66",1.35009310986965
"67",0.206967919972404
"68",0.662958005688473
"69",0.334691302141201
"70",3.87716134507266
