"","x"
"1",0
"2",1.97876535171017
"3",0
"4",0.220715749645278
"5",0.774874046138888
"6",1.26128098469921
"7",0.271344011540707
"8",0.52511188463451
"9",5.33644982881222
"10",1.04887175416714
"11",0.382603459738826
"12",0.992486782302198
"13",0.500422434522649
"14",1.86520357800209
"15",3.70755940313773
"16",1.9796682718031
"17",1.59414853713428
"18",1.35273098519653
"19",1.20389731725764
"20",1.29184188393608
"21",0.30773827308037
"22",2.43910180115845
"23",2.09805304131351
"24",2.46872870364264
"25",0
