"","x"
"1",4.17283154042118
"2",2.59058981384935
"3",0.418118466898955
"4",2.19284950782534
"5",0
"6",0.884955752212389
"7",6.18517134459807
"8",1.77323608415941
"9",4.26685570861993
"10",0
"11",2.0487175350863
"12",0.644892864572498
"13",0.87361677344205
"14",0.751173708920188
"15",6.67819034005917
"16",3.67838777431738
"17",0.00370480142264375
"18",3.02482069837636
"19",0.837105306211485
"20",4.26152577842603
"21",1.9768314417034
"22",6.93093352402283
"23",7.06628165554781
"24",3.32480818414322
"25",0.630046710359561
"26",2.2529272141408
"27",0.441609421000981
"28",0.599360681939265
"29",0.0108201687946332
"30",0.42646521262337
"31",0.206032635569474
"32",2.20872555938808
"33",0.0199322304165836
"34",0.465126532051847
"35",5.77962768147098
"36",7.36953509266168
"37",0
"38",3.71552141301718
"39",0.618867924528302
"40",4.84600037408816
"41",7.56038195094552
"42",0.357207725373857
"43",0.726196880043034
"44",9.70679875369497
"45",3.86316432498473
"46",3.65975696926376
"47",0.594861660079051
"48",6.23498019457381
"49",0.995546240503013
"50",1.93815818955859
"51",1.32204658535511
"52",8.69829683698297
"53",1.97255574614065
"54",9.58720391298345
"55",6.22745803234804
"56",3.89488712411885
"57",0.491722668415014
"58",1.85218086523941
"59",5.49816859469288
"60",2.52844500632111
"61",0.916023842917251
"62",5.04234541095115
"63",3.01003344481605
"64",3.15090681326748
"65",0.58764344770265
"66",10.8537022310388
"67",4.9404920820043
"68",1.28173708459955
"69",5.90887043852892
"70",2.91347741257692
"71",1.74799105293679
"72",3.82148293107197
"73",1.35063088679581
"74",3.95378030819717
"75",0
"76",5.62904690750344
"77",3.08604275193102
"78",6.8735412522126
"79",1.48779417952
"80",6.62991571308044
"81",1.8053089995536
"82",4.00937145522586
"83",4.86202132558716
"84",3.30665718181279
"85",1.35550706959644
"86",0.885571788590663
"87",0.960412720471354
"88",1.74158105949428
"89",1.38661215358803
"90",2.7994387516476
"91",6.16992709522794
"92",0
"93",1.94363885088919
"94",2.06469426790893
"95",5.11055486024197
"96",0
"97",1.58945150610081
"98",0
"99",1.78011675725419
"100",1.32766514061478
"101",3.51215333547489
"102",2.5598564824398
"103",4.49268112889638
"104",6.85969802089391
"105",1.79605067310555
"106",2.2482152945406
"107",0
"108",2.24170116062008
"109",2.89002687217969
"110",2.23436663784941
"111",0.846940332672059
"112",0.628052124409161
"113",0.717439701781765
"114",3.4080078999644
"115",0.16984482359299
"116",1.00808650535205
"117",1.1034013815698
"118",8.30523784684673
"119",0.532460867333847
"120",5.20382856217052
"121",5.07649950341325
"122",1.2854991394148
"123",3.49270607943045
"124",4.67487449199139
"125",0.949555407981095
"126",9.6108056625828
"127",2.53626669228552
"128",1.08686350021395
"129",1.11398008115087
"130",2.60112571932625
"131",0.460497114957834
"132",1.95425548467403
"133",4.15849125334261
"134",0.0330523880350355
"135",1.56344850654741
"136",0
"137",1.43216924110141
"138",1.44079983565021
"139",1.12208805951945
"140",3.08619284310122
"141",0
"142",2.49512353706112
"143",0.637311703360371
"144",3.06195740428455
"145",2.1322174064664
"146",0
"147",2.21596101127018
"148",0.663586728265435
"149",3.5392501732683
"150",1.46967905680228
"151",3.13864198180192
"152",1.79616172908515
"153",3.30252618607517
"154",4.84824066612947
"155",3.32964811107459
"156",3.08500280713225
"157",2.76488585549541
"158",0.861134807368639
"159",1.10847402772534
"160",1.64455414995372
"161",2.44193861548801
"162",1.34490359664053
"163",14.9898541597945
"164",0.927835824813795
"165",1.29070216404052
"166",1.09046997548272
"167",1.36349829562713
"168",1.85309973045822
"169",1.83129855715871
"170",3.58557783851847
"171",5.54394602157012
"172",3.96406721386075
"173",1.35115288588633
"174",0.737141472497481
"175",2.66955266955267
"176",1.27243262709321
"177",4.14808272613528
"178",1.09803358690972
"179",9.71526255350245
"180",0.0962000962000962
"181",0
"182",0.0809388911371914
"183",0.817160367722165
"184",1.9755600814664
"185",2.96579765606314
"186",0.166805671392827
"187",0.794675492353294
"188",1.52753584349457
"189",11.7891842346471
"190",1.42322097378277
"191",3.30585001963094
"192",0.955801166590455
"193",2.44435518170219
"194",0.784279168135354
"195",1.95794053662074
"196",0.647889858724017
"197",2.57708305578993
"198",1.75467994446306
"199",3.17029930128272
"200",1.02382390881926
"201",2.54710752196658
"202",0
"203",0
"204",0.582499683424085
"205",0
"206",1.38247870049124
"207",0.938357363843325
"208",1.1478163493841
"209",4.27665565932619
"210",2.00506455228528
"211",8.75663907538775
"212",4.31149340751873
"213",0.70552558561718
"214",2.96944070728426
"215",0.212396456727345
"216",2.75154004106776
"217",5.51303684062513
"218",10.0679456979072
"219",0.429815631715869
"220",0.929444028920469
"221",1.39174107142857
"222",1.80674605771118
"223",1.39600828879921
"224",2.2490714347413
"225",0.398470301928168
"226",0.789662598707825
"227",3.69894555839946
"228",1.94544940368806
"229",0.756901157613535
"230",0.707998139566932
"231",2.11767874577755
"232",0
"233",9.82945998219384
"234",0.498250821583802
"235",4.03393417224049
"236",2.0598443308073
