"Module","Gene","Module_gene","Function","position"
"M3.1","ALPP","M3.1_ALPP","Cell cycle","A29.1"
"M3.1","ALS2CR14","M3.1_ALS2CR14","Cell cycle","A29.1"
"M3.1","ANKRD30B","M3.1_ANKRD30B","Cell cycle","A29.1"
"M3.1","ARL16","M3.1_ARL16","Cell cycle","A29.1"
"M3.1","BCYRN1","M3.1_BCYRN1","Cell cycle","A29.1"
"M3.1","BLZF1","M3.1_BLZF1","Cell cycle","A29.1"
"M3.1","C11ORF63","M3.1_C11ORF63","Cell cycle","A29.1"
"M3.1","C1ORF176","M3.1_C1ORF176","Cell cycle","A29.1"
"M3.1","C5ORF28","M3.1_C5ORF28","Cell cycle","A29.1"
"M3.1","C6ORF170","M3.1_C6ORF170","Cell cycle","A29.1"
"M3.1","C8ORF45","M3.1_C8ORF45","Cell cycle","A29.1"
"M3.1","C9ORF130","M3.1_C9ORF130","Cell cycle","A29.1"
"M3.1","CCBE1","M3.1_CCBE1","Cell cycle","A29.1"
"M3.1","CEP27","M3.1_CEP27","Cell cycle","A29.1"
"M3.1","CSF2RA","M3.1_CSF2RA","Cell cycle","A29.1"
"M3.1","CYCSL1","M3.1_CYCSL1","Cell cycle","A29.1"
"M3.1","DCLRE1C","M3.1_DCLRE1C","Cell cycle","A29.1"
"M3.1","DDX51","M3.1_DDX51","Cell cycle","A29.1"
"M3.1","DENR","M3.1_DENR","Cell cycle","A29.1"
"M3.1","DMC1","M3.1_DMC1","Cell cycle","A29.1"
"M3.1","DTWD2","M3.1_DTWD2","Cell cycle","A29.1"
"M3.1","DUXAP3","M3.1_DUXAP3","Cell cycle","A29.1"
"M3.1","EIF2AK4","M3.1_EIF2AK4","Cell cycle","A29.1"
"M3.1","EVI5","M3.1_EVI5","Cell cycle","A29.1"
"M3.1","FAM40B","M3.1_FAM40B","Cell cycle","A29.1"
"M3.1","FAM73A","M3.1_FAM73A","Cell cycle","A29.1"
"M3.1","FLJ38717","M3.1_FLJ38717","Cell cycle","A29.1"
"M3.1","FLJ40722","M3.1_FLJ40722","Cell cycle","A29.1"
"M3.1","FLJ44124","M3.1_FLJ44124","Cell cycle","A29.1"
"M3.1","GALNT3","M3.1_GALNT3","Cell cycle","A29.1"
"M3.1","GPR1","M3.1_GPR1","Cell cycle","A29.1"
"M3.1","GSTTP2","M3.1_GSTTP2","Cell cycle","A29.1"
"M3.1","HNRNPU","M3.1_HNRNPU","Cell cycle","A29.1"
"M3.1","HS.163752","M3.1_HS.163752","Cell cycle","A29.1"
"M3.1","HS.542993","M3.1_HS.542993","Cell cycle","A29.1"
"M3.1","HS.562875","M3.1_HS.562875","Cell cycle","A29.1"
"M3.1","HS.571741","M3.1_HS.571741","Cell cycle","A29.1"
"M3.1","HS.576072","M3.1_HS.576072","Cell cycle","A29.1"
"M3.1","HSPC268","M3.1_HSPC268","Cell cycle","A29.1"
"M3.1","HYPK","M3.1_HYPK","Cell cycle","A29.1"
"M3.1","ICA1","M3.1_ICA1","Cell cycle","A29.1"
"M3.1","IL10","M3.1_IL10","Cell cycle","A29.1"
"M3.1","IL17RD","M3.1_IL17RD","Cell cycle","A29.1"
"M3.1","KIAA1751","M3.1_KIAA1751","Cell cycle","A29.1"
"M3.1","LEP","M3.1_LEP","Cell cycle","A29.1"
"M3.1","LMOD3","M3.1_LMOD3","Cell cycle","A29.1"
"M3.1","LOC123688","M3.1_LOC123688","Cell cycle","A29.1"
"M3.1","LOC440157","M3.1_LOC440157","Cell cycle","A29.1"
"M3.1","LOC643882","M3.1_LOC643882","Cell cycle","A29.1"
"M3.1","LOC644250","M3.1_LOC644250","Cell cycle","A29.1"
"M3.1","LOC644852","M3.1_LOC644852","Cell cycle","A29.1"
"M3.1","LOC648852","M3.1_LOC648852","Cell cycle","A29.1"
"M3.1","LOC653829","M3.1_LOC653829","Cell cycle","A29.1"
"M3.1","LSDP5","M3.1_LSDP5","Cell cycle","A29.1"
"M3.1","MAGT1","M3.1_MAGT1","Cell cycle","A29.1"
"M3.1","MBTD1","M3.1_MBTD1","Cell cycle","A29.1"
"M3.1","MCART1","M3.1_MCART1","Cell cycle","A29.1"
"M3.1","MCM8","M3.1_MCM8","Cell cycle","A29.1"
"M3.1","MYO3B","M3.1_MYO3B","Cell cycle","A29.1"
"M3.1","N4BP2","M3.1_N4BP2","Cell cycle","A29.1"
"M3.1","NLRP8","M3.1_NLRP8","Cell cycle","A29.1"
"M3.1","NUBPL","M3.1_NUBPL","Cell cycle","A29.1"
"M3.1","OCIAD1","M3.1_OCIAD1","Cell cycle","A29.1"
"M3.1","PCDHB19P","M3.1_PCDHB19P","Cell cycle","A29.1"
"M3.1","PCDHB9","M3.1_PCDHB9","Cell cycle","A29.1"
"M3.1","PIP5K2B","M3.1_PIP5K2B","Cell cycle","A29.1"
"M3.1","PLA2G2D","M3.1_PLA2G2D","Cell cycle","A29.1"
"M3.1","PLDN","M3.1_PLDN","Cell cycle","A29.1"
"M3.1","POLR2J4","M3.1_POLR2J4","Cell cycle","A29.1"
"M3.1","PPA2","M3.1_PPA2","Cell cycle","A29.1"
"M3.1","PPM1K","M3.1_PPM1K","Cell cycle","A29.1"
"M3.1","PRO1853","M3.1_PRO1853","Cell cycle","A29.1"
"M3.1","PTP4A2","M3.1_PTP4A2","Cell cycle","A29.1"
"M3.1","PTPLAD2","M3.1_PTPLAD2","Cell cycle","A29.1"
"M3.1","RAXL1","M3.1_RAXL1","Cell cycle","A29.1"
"M3.1","RHBDL2","M3.1_RHBDL2","Cell cycle","A29.1"
"M3.1","RNUXA","M3.1_RNUXA","Cell cycle","A29.1"
"M3.1","SLC25A20","M3.1_SLC25A20","Cell cycle","A29.1"
"M3.1","SLC35E1","M3.1_SLC35E1","Cell cycle","A29.1"
"M3.1","SLC4A5","M3.1_SLC4A5","Cell cycle","A29.1"
"M3.1","SLC5A8","M3.1_SLC5A8","Cell cycle","A29.1"
"M3.1","SNAPC1","M3.1_SNAPC1","Cell cycle","A29.1"
"M3.1","SPTLC1","M3.1_SPTLC1","Cell cycle","A29.1"
"M3.1","SSTR2","M3.1_SSTR2","Cell cycle","A29.1"
"M3.1","SYAP1","M3.1_SYAP1","Cell cycle","A29.1"
"M3.1","TDP1","M3.1_TDP1","Cell cycle","A29.1"
"M3.1","TDRD1","M3.1_TDRD1","Cell cycle","A29.1"
"M3.1","TNFSF15","M3.1_TNFSF15","Cell cycle","A29.1"
"M3.1","TRIM13","M3.1_TRIM13","Cell cycle","A29.1"
"M3.1","USP49","M3.1_USP49","Cell cycle","A29.1"
"M3.1","VPS41","M3.1_VPS41","Cell cycle","A29.1"
"M3.1","WDR74","M3.1_WDR74","Cell cycle","A29.1"
"M3.1","XRCC2","M3.1_XRCC2","Cell cycle","A29.1"
"M3.1","YRDC","M3.1_YRDC","Cell cycle","A29.1"
"M3.1","ZADH1","M3.1_ZADH1","Cell cycle","A29.1"
"M3.1","ZNF14","M3.1_ZNF14","Cell cycle","A29.1"
"M3.1","ZNF223","M3.1_ZNF223","Cell cycle","A29.1"
"M3.1","ZNF483","M3.1_ZNF483","Cell cycle","A29.1"
"M3.1","ZNF486","M3.1_ZNF486","Cell cycle","A29.1"
"M3.1","ZNF557","M3.1_ZNF557","Cell cycle","A29.1"
"M3.1","ZNF577","M3.1_ZNF577","Cell cycle","A29.1"
"M3.1","ZNF652","M3.1_ZNF652","Cell cycle","A29.1"
"M3.1","ZNF669","M3.1_ZNF669","Cell cycle","A29.1"
"M3.1","ZNF682","M3.1_ZNF682","Cell cycle","A29.1"
"M3.1","ZNF69","M3.1_ZNF69","Cell cycle","A29.1"
"M3.1","ZNF786","M3.1_ZNF786","Cell cycle","A29.1"
"M8.1","AHR","M8.1_AHR","TBD","A29.4"
"M8.1","AIRE","M8.1_AIRE","TBD","A29.4"
"M8.1","BIRC3","M8.1_BIRC3","TBD","A29.4"
"M8.1","C14ORF85","M8.1_C14ORF85","TBD","A29.4"
"M8.1","C21ORF24","M8.1_C21ORF24","TBD","A29.4"
"M8.1","C21ORF55","M8.1_C21ORF55","TBD","A29.4"
"M8.1","C3ORF34","M8.1_C3ORF34","TBD","A29.4"
"M8.1","C8ORF37","M8.1_C8ORF37","TBD","A29.4"
"M8.1","C9ORF80","M8.1_C9ORF80","TBD","A29.4"
"M8.1","CDAN1","M8.1_CDAN1","TBD","A29.4"
"M8.1","CDKN2AIPNL","M8.1_CDKN2AIPNL","TBD","A29.4"
"M8.1","CREB1","M8.1_CREB1","TBD","A29.4"
"M8.1","EID2B","M8.1_EID2B","TBD","A29.4"
"M8.1","FAM115A","M8.1_FAM115A","TBD","A29.4"
"M8.1","FAM119A","M8.1_FAM119A","TBD","A29.4"
"M8.1","FCAR","M8.1_FCAR","TBD","A29.4"
"M8.1","FKTN","M8.1_FKTN","TBD","A29.4"
"M8.1","FLJ46309","M8.1_FLJ46309","TBD","A29.4"
"M8.1","GJC1","M8.1_GJC1","TBD","A29.4"
"M8.1","GRIPAP1","M8.1_GRIPAP1","TBD","A29.4"
"M8.1","HCG2P7","M8.1_HCG2P7","TBD","A29.4"
"M8.1","IL18","M8.1_IL18","TBD","A29.4"
"M8.1","KCNH6","M8.1_KCNH6","TBD","A29.4"
"M8.1","LILRB1","M8.1_LILRB1","TBD","A29.4"
"M8.1","LOC399900","M8.1_LOC399900","TBD","A29.4"
"M8.1","LOC440704","M8.1_LOC440704","TBD","A29.4"
"M8.1","LOC441087","M8.1_LOC441087","TBD","A29.4"
"M8.1","LOC642947","M8.1_LOC642947","TBD","A29.4"
"M8.1","LOC645895","M8.1_LOC645895","TBD","A29.4"
"M8.1","LOC647389","M8.1_LOC647389","TBD","A29.4"
"M8.1","LOC653086","M8.1_LOC653086","TBD","A29.4"
"M8.1","LOC653489","M8.1_LOC653489","TBD","A29.4"
"M8.1","LOC729603","M8.1_LOC729603","TBD","A29.4"
"M8.1","LOC90586","M8.1_LOC90586","TBD","A29.4"
"M8.1","LRAP","M8.1_LRAP","TBD","A29.4"
"M8.1","MBD4","M8.1_MBD4","TBD","A29.4"
"M8.1","MGC29891","M8.1_MGC29891","TBD","A29.4"
"M8.1","PDE4C","M8.1_PDE4C","TBD","A29.4"
"M8.1","PNPT1","M8.1_PNPT1","TBD","A29.4"
"M8.1","RCP9","M8.1_RCP9","TBD","A29.4"
"M8.1","RPL7L1","M8.1_RPL7L1","TBD","A29.4"
"M8.1","SDHALP1","M8.1_SDHALP1","TBD","A29.4"
"M8.1","SHROOM4","M8.1_SHROOM4","TBD","A29.4"
"M8.1","SLC16A12","M8.1_SLC16A12","TBD","A29.4"
"M8.1","SLC44A4","M8.1_SLC44A4","TBD","A29.4"
"M8.1","SULT1A1","M8.1_SULT1A1","TBD","A29.4"
"M8.1","TMEM17","M8.1_TMEM17","TBD","A29.4"
"M8.1","ZMAT3","M8.1_ZMAT3","TBD","A29.4"
"M8.1","ZNF394","M8.1_ZNF394","TBD","A29.4"
"M8.1","ZNF430","M8.1_ZNF430","TBD","A29.4"
"M8.1","ZNF549","M8.1_ZNF549","TBD","A29.4"
"M8.2","ABCC3","M8.2_ABCC3","Prostanoids","A34.4"
"M8.2","ABLIM3","M8.2_ABLIM3","Prostanoids","A34.4"
"M8.2","ALOX12","M8.2_ALOX12","Prostanoids","A34.4"
"M8.2","AQP10","M8.2_AQP10","Prostanoids","A34.4"
"M8.2","C6ORF21","M8.2_C6ORF21","Prostanoids","A34.4"
"M8.2","C7ORF41","M8.2_C7ORF41","Prostanoids","A34.4"
"M8.2","CALD1","M8.2_CALD1","Prostanoids","A34.4"
"M8.2","CMTM5","M8.2_CMTM5","Prostanoids","A34.4"
"M8.2","CTDSPL","M8.2_CTDSPL","Prostanoids","A34.4"
"M8.2","CTTN","M8.2_CTTN","Prostanoids","A34.4"
"M8.2","ESAM","M8.2_ESAM","Prostanoids","A34.4"
"M8.2","F13A1","M8.2_F13A1","Prostanoids","A34.4"
"M8.2","GNG11","M8.2_GNG11","Prostanoids","A34.4"
"M8.2","GP9","M8.2_GP9","Prostanoids","A34.4"
"M8.2","GUCY1A3","M8.2_GUCY1A3","Prostanoids","A34.4"
"M8.2","HS.552264","M8.2_HS.552264","Prostanoids","A34.4"
"M8.2","ITGA2B","M8.2_ITGA2B","Prostanoids","A34.4"
"M8.2","ITGB3","M8.2_ITGB3","Prostanoids","A34.4"
"M8.2","ITGB5","M8.2_ITGB5","Prostanoids","A34.4"
"M8.2","JAM3","M8.2_JAM3","Prostanoids","A34.4"
"M8.2","MPL","M8.2_MPL","Prostanoids","A34.4"
"M8.2","MYL9","M8.2_MYL9","Prostanoids","A34.4"
"M8.2","NRGN","M8.2_NRGN","Prostanoids","A34.4"
"M8.2","PARVB","M8.2_PARVB","Prostanoids","A34.4"
"M8.2","PDE5A","M8.2_PDE5A","Prostanoids","A34.4"
"M8.2","PPBP","M8.2_PPBP","Prostanoids","A34.4"
"M8.2","PROS1","M8.2_PROS1","Prostanoids","A34.4"
"M8.2","PTGS1","M8.2_PTGS1","Prostanoids","A34.4"
"M8.2","PVALB","M8.2_PVALB","Prostanoids","A34.4"
"M8.2","SEPT5","M8.2_SEPT5","Prostanoids","A34.4"
"M8.2","SH3BGRL2","M8.2_SH3BGRL2","Prostanoids","A34.4"
"M8.2","TNFSF4","M8.2_TNFSF4","Prostanoids","A34.4"
"M8.2","TREML1","M8.2_TREML1","Prostanoids","A34.4"
"M8.2","TSPAN33","M8.2_TSPAN33","Prostanoids","A34.4"
"M8.2","TSPAN9","M8.2_TSPAN9","Prostanoids","A34.4"
"M8.2","VWF","M8.2_VWF","Prostanoids","A34.4"
"M8.3","EPSTI1","M8.3_EPSTI1","Type 1 Interferon","A28.6"
"M8.3","HERC5","M8.3_HERC5","Type 1 Interferon","A28.6"
"M8.3","HES4","M8.3_HES4","Type 1 Interferon","A28.6"
"M8.3","IFI44","M8.3_IFI44","Type 1 Interferon","A28.6"
"M8.3","IFI44L","M8.3_IFI44L","Type 1 Interferon","A28.6"
"M8.3","IFI6","M8.3_IFI6","Type 1 Interferon","A28.6"
"M8.3","IFIT1","M8.3_IFIT1","Type 1 Interferon","A28.6"
"M8.3","IFIT3","M8.3_IFIT3","Type 1 Interferon","A28.6"
"M8.3","ISG15","M8.3_ISG15","Type 1 Interferon","A28.6"
"M8.3","LY6E","M8.3_LY6E","Type 1 Interferon","A28.6"
"M8.3","MX1","M8.3_MX1","Type 1 Interferon","A28.6"
"M8.3","OAS1","M8.3_OAS1","Type 1 Interferon","A28.6"
"M8.3","OAS2","M8.3_OAS2","Type 1 Interferon","A28.6"
"M8.3","OAS3","M8.3_OAS3","Type 1 Interferon","A28.6"
"M8.3","OASL","M8.3_OASL","Type 1 Interferon","A28.6"
"M8.3","RSAD2","M8.3_RSAD2","Type 1 Interferon","A28.6"
"M8.3","XAF1","M8.3_XAF1","Type 1 Interferon","A28.6"
"M9.1","CCL4L2","M9.1_CCL4L2","Cytotoxic lymphocytes","A2.1"
"M9.1","CD160","M9.1_CD160","Cytotoxic lymphocytes","A2.1"
"M9.1","CLIC3","M9.1_CLIC3","Cytotoxic lymphocytes","A2.1"
"M9.1","EDG8","M9.1_EDG8","Cytotoxic lymphocytes","A2.1"
"M9.1","EOMES","M9.1_EOMES","Cytotoxic lymphocytes","A2.1"
"M9.1","FGFBP2","M9.1_FGFBP2","Cytotoxic lymphocytes","A2.1"
"M9.1","GNLY","M9.1_GNLY","Cytotoxic lymphocytes","A2.1"
"M9.1","GPR56","M9.1_GPR56","Cytotoxic lymphocytes","A2.1"
"M9.1","GZMA","M9.1_GZMA","Cytotoxic lymphocytes","A2.1"
"M9.1","GZMB","M9.1_GZMB","Cytotoxic lymphocytes","A2.1"
"M9.1","GZMH","M9.1_GZMH","Cytotoxic lymphocytes","A2.1"
"M9.1","HOPX","M9.1_HOPX","Cytotoxic lymphocytes","A2.1"
"M9.1","IL2RB","M9.1_IL2RB","Cytotoxic lymphocytes","A2.1"
"M9.1","KIR2DL3","M9.1_KIR2DL3","Cytotoxic lymphocytes","A2.1"
"M9.1","KIR2DL4","M9.1_KIR2DL4","Cytotoxic lymphocytes","A2.1"
"M9.1","KIR3DL1","M9.1_KIR3DL1","Cytotoxic lymphocytes","A2.1"
"M9.1","KLRC1","M9.1_KLRC1","Cytotoxic lymphocytes","A2.1"
"M9.1","KLRC3","M9.1_KLRC3","Cytotoxic lymphocytes","A2.1"
"M9.1","KLRD1","M9.1_KLRD1","Cytotoxic lymphocytes","A2.1"
"M9.1","KLRF1","M9.1_KLRF1","Cytotoxic lymphocytes","A2.1"
"M9.1","NKG7","M9.1_NKG7","Cytotoxic lymphocytes","A2.1"
"M9.1","PLEKHF1","M9.1_PLEKHF1","Cytotoxic lymphocytes","A2.1"
"M9.1","PPP2R2B","M9.1_PPP2R2B","Cytotoxic lymphocytes","A2.1"
"M9.1","PRF1","M9.1_PRF1","Cytotoxic lymphocytes","A2.1"
"M9.1","PTGDR","M9.1_PTGDR","Cytotoxic lymphocytes","A2.1"
"M9.1","SH2D1B","M9.1_SH2D1B","Cytotoxic lymphocytes","A2.1"
"M9.1","TGFBR3","M9.1_TGFBR3","Cytotoxic lymphocytes","A2.1"
"M9.1","ZNF683","M9.1_ZNF683","Cytotoxic lymphocytes","A2.1"
"M9.2","MARCH8","M9.2_MARCH8","Erythroid cells","A37.1"
"M9.2","ALAS2","M9.2_ALAS2","Erythroid cells","A37.1"
"M9.2","BCL2L1","M9.2_BCL2L1","Erythroid cells","A37.1"
"M9.2","BPGM","M9.2_BPGM","Erythroid cells","A37.1"
"M9.2","C14ORF45","M9.2_C14ORF45","Erythroid cells","A37.1"
"M9.2","C1ORF128","M9.2_C1ORF128","Erythroid cells","A37.1"
"M9.2","CA1","M9.2_CA1","Erythroid cells","A37.1"
"M9.2","EPB42","M9.2_EPB42","Erythroid cells","A37.1"
"M9.2","FAM46C","M9.2_FAM46C","Erythroid cells","A37.1"
"M9.2","FECH","M9.2_FECH","Erythroid cells","A37.1"
"M9.2","GMPR","M9.2_GMPR","Erythroid cells","A37.1"
"M9.2","GPR146","M9.2_GPR146","Erythroid cells","A37.1"
"M9.2","GYPB","M9.2_GYPB","Erythroid cells","A37.1"
"M9.2","GYPE","M9.2_GYPE","Erythroid cells","A37.1"
"M9.2","IFIT1L","M9.2_IFIT1L","Erythroid cells","A37.1"
"M9.2","KRT1","M9.2_KRT1","Erythroid cells","A37.1"
"M9.2","NFIX","M9.2_NFIX","Erythroid cells","A37.1"
"M9.2","OR2W3","M9.2_OR2W3","Erythroid cells","A37.1"
"M9.2","OSBP2","M9.2_OSBP2","Erythroid cells","A37.1"
"M9.2","PLEK2","M9.2_PLEK2","Erythroid cells","A37.1"
"M9.2","SELENBP1","M9.2_SELENBP1","Erythroid cells","A37.1"
"M9.2","SLC14A1","M9.2_SLC14A1","Erythroid cells","A37.1"
"M9.2","SLC4A1","M9.2_SLC4A1","Erythroid cells","A37.1"
"M9.2","SNCA","M9.2_SNCA","Erythroid cells","A37.1"
"M9.2","TMCC2","M9.2_TMCC2","Erythroid cells","A37.1"
"M9.2","TMOD1","M9.2_TMOD1","Erythroid cells","A37.1"
"M9.2","TNS1","M9.2_TNS1","Erythroid cells","A37.1"
"M9.2","TRIM10","M9.2_TRIM10","Erythroid cells","A37.1"
"M9.2","TUBB2A","M9.2_TUBB2A","Erythroid cells","A37.1"
"M9.2","XK","M9.2_XK","Erythroid cells","A37.1"
"M10.1","DDX58","M10.1_DDX58","Interferon","A28.1"
"M10.1","DDX60","M10.1_DDX60","Interferon","A28.1"
"M10.1","DHX58","M10.1_DHX58","Interferon","A28.1"
"M10.1","FBXO6","M10.1_FBXO6","Interferon","A28.1"
"M10.1","GBP1","M10.1_GBP1","Interferon","A28.1"
"M10.1","GBP4","M10.1_GBP4","Interferon","A28.1"
"M10.1","GBP5","M10.1_GBP5","Interferon","A28.1"
"M10.1","IFI35","M10.1_IFI35","Interferon","A28.1"
"M10.1","IFIH1","M10.1_IFIH1","Interferon","A28.1"
"M10.1","IFIT2","M10.1_IFIT2","Interferon","A28.1"
"M10.1","IFIT5","M10.1_IFIT5","Interferon","A28.1"
"M10.1","IRF7","M10.1_IRF7","Interferon","A28.1"
"M10.1","LAP3","M10.1_LAP3","Interferon","A28.1"
"M10.1","OAS2","M10.1_OAS2","Interferon","A28.1"
"M10.1","PARP12","M10.1_PARP12","Interferon","A28.1"
"M10.1","PARP14","M10.1_PARP14","Interferon","A28.1"
"M10.1","SAMD9L","M10.1_SAMD9L","Interferon","A28.1"
"M10.1","SCO2","M10.1_SCO2","Interferon","A28.1"
"M10.1","STAT1","M10.1_STAT1","Interferon","A28.1"
"M10.1","TRIM22","M10.1_TRIM22","Interferon","A28.1"
"M10.1","ZBP1","M10.1_ZBP1","Interferon","A28.1"
"M10.2","C19ORF31","M10.2_C19ORF31","Protein synthesis","A9.1"
"M10.2","CLUAP1","M10.2_CLUAP1","Protein synthesis","A9.1"
"M10.2","EEF1A1","M10.2_EEF1A1","Protein synthesis","A9.1"
"M10.2","F2R","M10.2_F2R","Protein synthesis","A9.1"
"M10.2","FTL","M10.2_FTL","Protein synthesis","A9.1"
"M10.2","H3F3A","M10.2_H3F3A","Protein synthesis","A9.1"
"M10.2","HBA2","M10.2_HBA2","Protein synthesis","A9.1"
"M10.2","HBB","M10.2_HBB","Protein synthesis","A9.1"
"M10.2","IMAA","M10.2_IMAA","Protein synthesis","A9.1"
"M10.2","LAIR1","M10.2_LAIR1","Protein synthesis","A9.1"
"M10.2","LOC388720","M10.2_LOC388720","Protein synthesis","A9.1"
"M10.2","OAZ1","M10.2_OAZ1","Protein synthesis","A9.1"
"M10.2","RPL41","M10.2_RPL41","Protein synthesis","A9.1"
"M10.2","RPS12","M10.2_RPS12","Protein synthesis","A9.1"
"M10.2","RPS27","M10.2_RPS27","Protein synthesis","A9.1"
"M10.2","TMSB4X","M10.2_TMSB4X","Protein synthesis","A9.1"
"M10.2","TPT1","M10.2_TPT1","Protein synthesis","A9.1"
"M10.2","UBA52","M10.2_UBA52","Protein synthesis","A9.1"
"M10.2","UBB","M10.2_UBB","Protein synthesis","A9.1"
"M10.3","ACRBP","M10.3_ACRBP","Platelet","A34.1"
"M10.3","BMP6","M10.3_BMP6","Platelet","A34.1"
"M10.3","CDC14B","M10.3_CDC14B","Platelet","A34.1"
"M10.3","CLDN5","M10.3_CLDN5","Platelet","A34.1"
"M10.3","CLEC1B","M10.3_CLEC1B","Platelet","A34.1"
"M10.3","DAB2","M10.3_DAB2","Platelet","A34.1"
"M10.3","FHL1","M10.3_FHL1","Platelet","A34.1"
"M10.3","GP1BA","M10.3_GP1BA","Platelet","A34.1"
"M10.3","GRAP2","M10.3_GRAP2","Platelet","A34.1"
"M10.3","HS.25318","M10.3_HS.25318","Platelet","A34.1"
"M10.3","MMD","M10.3_MMD","Platelet","A34.1"
"M10.3","NAT8B","M10.3_NAT8B","Platelet","A34.1"
"M10.3","PGRMC1","M10.3_PGRMC1","Platelet","A34.1"
"M10.3","PTCRA","M10.3_PTCRA","Platelet","A34.1"
"M10.3","RUFY1","M10.3_RUFY1","Platelet","A34.1"
"M10.3","SDPR","M10.3_SDPR","Platelet","A34.1"
"M10.3","TSC22D1","M10.3_TSC22D1","Platelet","A34.1"
"M10.3","TUBB1","M10.3_TUBB1","Platelet","A34.1"
"M10.3","VCL","M10.3_VCL","Platelet","A34.1"
"M10.3","ZNF185","M10.3_ZNF185","Platelet","A34.1"
"M10.4","BPI","M10.4_BPI","Neutrophil activation","A38.2"
"M10.4","CEACAM6","M10.4_CEACAM6","Neutrophil activation","A38.2"
"M10.4","CEACAM8","M10.4_CEACAM8","Neutrophil activation","A38.2"
"M10.4","CTSG","M10.4_CTSG","Neutrophil activation","A38.2"
"M10.4","DEFA1","M10.4_DEFA1","Neutrophil activation","A38.2"
"M10.4","DEFA3","M10.4_DEFA3","Neutrophil activation","A38.2"
"M10.4","DEFA4","M10.4_DEFA4","Neutrophil activation","A38.2"
"M10.4","ELA2","M10.4_ELA2","Neutrophil activation","A38.2"
"M10.4","LOC653600","M10.4_LOC653600","Neutrophil activation","A38.2"
"M10.4","LOC728358","M10.4_LOC728358","Neutrophil activation","A38.2"
"M10.4","LTF","M10.4_LTF","Neutrophil activation","A38.2"
"M10.4","MPO","M10.4_MPO","Neutrophil activation","A38.2"
"M10.4","OLFM4","M10.4_OLFM4","Neutrophil activation","A38.2"
"M11.1","EEF1B2","M11.1_EEF1B2","Protein synthesis","A1.19"
"M11.1","EEF2","M11.1_EEF2","Protein synthesis","A1.19"
"M11.1","LOC388524","M11.1_LOC388524","Protein synthesis","A1.19"
"M11.1","LOC440589","M11.1_LOC440589","Protein synthesis","A1.19"
"M11.1","LOC441246","M11.1_LOC441246","Protein synthesis","A1.19"
"M11.1","LOC441876","M11.1_LOC441876","Protein synthesis","A1.19"
"M11.1","LOC642250","M11.1_LOC642250","Protein synthesis","A1.19"
"M11.1","LOC643433","M11.1_LOC643433","Protein synthesis","A1.19"
"M11.1","LOC644029","M11.1_LOC644029","Protein synthesis","A1.19"
"M11.1","LOC645683","M11.1_LOC645683","Protein synthesis","A1.19"
"M11.1","LOC645899","M11.1_LOC645899","Protein synthesis","A1.19"
"M11.1","LOC646195","M11.1_LOC646195","Protein synthesis","A1.19"
"M11.1","LOC646200","M11.1_LOC646200","Protein synthesis","A1.19"
"M11.1","LOC646483","M11.1_LOC646483","Protein synthesis","A1.19"
"M11.1","LOC646766","M11.1_LOC646766","Protein synthesis","A1.19"
"M11.1","LOC649150","M11.1_LOC649150","Protein synthesis","A1.19"
"M11.1","LOC649447","M11.1_LOC649447","Protein synthesis","A1.19"
"M11.1","LOC649821","M11.1_LOC649821","Protein synthesis","A1.19"
"M11.1","LOC653232","M11.1_LOC653232","Protein synthesis","A1.19"
"M11.1","LOC653314","M11.1_LOC653314","Protein synthesis","A1.19"
"M11.1","LOC731096","M11.1_LOC731096","Protein synthesis","A1.19"
"M11.1","RPL10A","M11.1_RPL10A","Protein synthesis","A1.19"
"M11.1","RPL12","M11.1_RPL12","Protein synthesis","A1.19"
"M11.1","RPL17","M11.1_RPL17","Protein synthesis","A1.19"
"M11.1","RPL18","M11.1_RPL18","Protein synthesis","A1.19"
"M11.1","RPL18A","M11.1_RPL18A","Protein synthesis","A1.19"
"M11.1","RPL19","M11.1_RPL19","Protein synthesis","A1.19"
"M11.1","RPL27","M11.1_RPL27","Protein synthesis","A1.19"
"M11.1","RPL35","M11.1_RPL35","Protein synthesis","A1.19"
"M11.1","RPL35A","M11.1_RPL35A","Protein synthesis","A1.19"
"M11.1","RPL36","M11.1_RPL36","Protein synthesis","A1.19"
"M11.1","RPL4","M11.1_RPL4","Protein synthesis","A1.19"
"M11.1","RPL5","M11.1_RPL5","Protein synthesis","A1.19"
"M11.1","RPL6","M11.1_RPL6","Protein synthesis","A1.19"
"M11.1","RPL8","M11.1_RPL8","Protein synthesis","A1.19"
"M11.1","RPL9","M11.1_RPL9","Protein synthesis","A1.19"
"M11.1","RPLP1","M11.1_RPLP1","Protein synthesis","A1.19"
"M11.1","RPS13","M11.1_RPS13","Protein synthesis","A1.19"
"M11.1","RPS14","M11.1_RPS14","Protein synthesis","A1.19"
"M11.1","RPS15","M11.1_RPS15","Protein synthesis","A1.19"
"M11.1","RPS17","M11.1_RPS17","Protein synthesis","A1.19"
"M11.1","RPS18","M11.1_RPS18","Protein synthesis","A1.19"
"M11.1","RPS20","M11.1_RPS20","Protein synthesis","A1.19"
"M11.1","RPS27A","M11.1_RPS27A","Protein synthesis","A1.19"
"M11.1","RPS3","M11.1_RPS3","Protein synthesis","A1.19"
"M11.1","TOMM7","M11.1_TOMM7","Protein synthesis","A1.19"
