,description,type,sample,totalcount,entropy,tcrcovidmatch,tcrcovidfreq
Covid_PT040_CD4,Covid_PT040,CD4,55,112314,0.9550210560418672,0.00059654183806115,0.0005201570397404731
Covid_PT040_CD8,Covid_PT040,CD8,56,32755,0.6425620221622231,0.001007479774080293,0.0004898785143367598
Covid_PT043_CD4,Covid_PT043,CD4,57,6078,0.7001003236520257,0.0008226390259953932,0.00010451857210643564
Covid_PT043_CD8,Covid_PT043,CD8,58,61948,0.9016631776837717,0.0007425582746819914,0.0007017908779184006
Covid_PT044_CD4,Covid_PT044,CD4,59,4,0.976104080144606,0.0,0.0
Covid_PT044_CD8,Covid_PT044,CD8,60,14248,0.7715345517472397,0.001403705783267827,0.000451615882555959
Covid_PT046_CD4,Covid_PT046,CD4,61,16480,0.9499688451762737,0.0011529126213592233,0.0007849126452198439
Covid_PT046_CD8,Covid_PT046,CD8,62,14479,0.8670960771462228,0.001312245320809448,0.0008201030500463945
Covid_PT047_CD4,Covid_PT047,CD4,63,56474,0.9660144385833704,0.000761412331338315,0.0006673471424155785
Covid_PT047_CD8,Covid_PT047,CD8,64,10767,0.8103347992583123,0.0012073929599702795,0.0006548624001951624
Covid_PT051_CD4,Covid_PT051,CD4,65,104560,0.932405229011113,0.0011094108645753635,0.0009818236723539782
Covid_PT051_CD8,Covid_PT051,CD8,66,9770,0.7662855476713368,0.0007164790174002047,0.0003191940475881534
Covid_PT053_CD4,Covid_PT053,CD4,67,81709,0.9585046150865888,0.0006119276946236033,0.0008163347103778658
Covid_PT053_CD8,Covid_PT053,CD8,68,35611,0.8688831817669072,0.0012074920670579316,0.0009588512191752615
Covid_PT054_CD4,Covid_PT054,CD4,69,1854,0.672959378982744,0.0,0.0
Covid_PT054_CD8,Covid_PT054,CD8,70,9736,0.8061799007603764,0.0008216926869350862,0.0001276784268028825
Covid_PT055_CD4,Covid_PT055,CD4,71,132367,0.963764092948844,0.0006194897519774566,0.0005641482273671206
Covid_PT055_CD8,Covid_PT055,CD8,72,394,0.6833290137931554,0.0,0.0
Covid_PT056_CD4,Covid_PT056,CD4,73,3226,0.8568467685524009,0.00030998140111593303,3.8227893851564995e-05
Covid_PT056_CD8,Covid_PT056,CD8,74,911,0.8206466030358451,0.0,0.0
Covid_PT057_CD4,Covid_PT057,CD4,75,107741,0.9639635078361204,0.0009559963245189853,0.000814683191670364
Covid_PT057_CD8,Covid_PT057,CD8,76,34704,0.7991685355781406,0.001094974642692485,0.0008486822972139684
Covid_PT058_CD4,Covid_PT058,CD4,77,864,0.8315599896805195,0.0,0.0
Covid_PT058_CD8,Covid_PT058,CD8,78,36,0.7544240221897927,0.0,0.0
Covid_PT059_CD4,Covid_PT059,CD4,79,83082,0.8264903207432379,0.0008545774054548518,0.0005546530921531898
Covid_PT059_CD8,Covid_PT059,CD8,80,10403,0.6200452309843412,0.0016341439969239642,0.0006438198521510374
Covid_PT060_CD4,Covid_PT060,CD4,81,101,0.7877418590350769,0.0,0.0
Covid_PT060_CD8,Covid_PT060,CD8,82,190,0.717776219761779,0.0,0.0
