microbe,eigentaxa
HM124151_g 14,4
Sporobacter 49,1
Anaerotruncus 1,41
Lachnospiraceae 38,4
GU302849_g 15,4
Ruminococcus_g4 25,4
Christensenellaceae 1,3
FJ367735_g 5,4
Subdoligranulum 36,4
Oscillibacter 63,4
Lachnospiraceae 46,32
Desulfovibrio 10,4
AM405156_g 1,55
Lachnospiraceae 56,4
Pseudoflavonifractor 73,41
HQ716403_g 18,20
AB218327_g 2,4
Ruminococcaceae 15,36
AM277985_g 2,7
EF402988_g 7,4
Oscillibacter 6,79
Bacteroides 26,62
Paraprevotella 2,55
EU358717_g 1,61
Lachnospiraceae 2,27
FR888536_g 4,21
Barnesiella 6,37
Clostridium_g8 1,60
AF018558_g 1,21
EU464362_g 1,6
DQ815907_g 1,42
EF602759_g 1,21
Eubacterium_g17 3,56
JN713389_g 6,10
Sporobacter 11,10
Eubacterium_g23 7,15
Barnesiella 7,2
AY305316_g 4,21
Parasutterella 5,21
Pseudoflavonifractor 8,7
Eubacterium_g4 3,21
AY442821_g 2,16
EU844456_g 1,1
Alistipes 19,16
FR888536_g 10,20
Eisenbergiella 3,18
HM124151_g 3,9
Subdoligranulum 7,21
Sellimonas 2,21
JN713389_g 18,21
AB009176_g 19,3
AJ518873_g 2,48
EF602946_g 1,18
HM124260_g 8,37
Bacteroides 74,10
JPZU_g 2,36
AJ576336_g 3,10
Sanguibacteroides 2,1
GU174103_g 1,8
Hydrogenoanaerobacterium 2,18
Clostridium_g24 13,13
AM277063_g 3,20
Sporobacter 33,43
HM124260_g 12,32
Lachnospiraceae 29,20
Lachnospiraceae 35,10
Oscillibacter 39,48
AB218327_g 1,6
Clostridium_g6 3,1
Bacteroidetes 2,8
Bacteroides 120,11
GU174103_g 3,1
Caproiciproducens 23,45
EU381820_g 2,21
JX096039_g 1,28
Clostridium_g7 9,53
Ruminococcaceae 16,21
Staphylococcus 4,28
Prevotella 4,51
Prevotella 6,53
Prevotella 14,20
Prevotella 17,53
Prevotella 20,29
Butyrivibrio_g1 1,39
GQ422712_g 1,3
Prevotella 19,78
Prevotella 23,9
Alloprevotella 2,83
Oscillibacter 10,58
Eubacterium_g8 3,35
JN713389_g 2,11
Faecalibacterium 8,29
AJ518873_g 1,13
EF603735_g 2,10
Bacteroides 41,43
FJ848448_g 1,15
Eubacterium_g23 8,11
Howardella 1,1
JN713389_g 7,77
KE159538_g 5,29
Lachnospiraceae 9,37
Bifidobacterium 6,23
Prevotella 68,1
Roseburia 8,47
LLKB_g 7,29
Parasutterella 12,18
DQ905290_g 1,23
GU302849_g 6,17
JN713389_g 20,11
Christensenella 1,15
Pseudoflavonifractor 22,6
Barnesiella 15,2
Barnesiella 19,29
AB009176_g 30,20
GU302849_g 7,6
Bacteroides 89,29
Acetitomaculum,48
HQ716403_g 13,7
FJ269091_g 1,17
Lactobacillus 8,29
AM277063_g 5,10
FJ462126_g 1,6
AY426448_g 1,43
FR888536_g 24,29
AM277985_g 1,1
Christensenella 4,38
Prevotella 117,41
AM275436_g 3,29
Oscillibacter 53,29
DQ353904_g 6,39
Pseudoflavonifractor 58,5
AM275436_g 9,29
Sporobacter 85,29
Caproiciproducens 36,57
Clostridium_g7 30,77
Prevotella 2,74
Dialister 1,2
Alistipes 4,56
Desulfovibrio 2,23
Terrisporobacter 1,1
HQ716403_g 2,7
Dialister 2,9
FJ367735_g 1,15
Bacteroides 31,18
KE159538_g 4,23
Alloprevotella 3,9
Megasphaera 2,9
Faecalibacterium 9,54
JN713389_g 5,8
AB009176_g 4,56
Sporobacter 8,9
Veillonella 2,10
Acidaminococcus 3,9
FJ848389_g 1,9
Paraprevotella 3,9
Bacteroides 52,45
Prevotella 47,9
AB009176_g 7,38
HM124260_g 2,11
AM277063_g 2,32
Roseburia 5,54
Bacteroides 62,61
FJ367735_g 2,9
Eubacterium_g23 11,9
JN713389_g 14,11
Pseudoflavonifractor 21,7
HM124151_g 7,11
Blautia 35,54
Pseudoflavonifractor 34,54
Subdoligranulum 23,20
Sporobacter 44,34
Caproiciproducens 16,8
Gordonibacter 2,30
Slackia 2,54
Anaerofilum 5,12
Rothia 1,33
HM124260_g 32,54
Faecalibacterium 6,24
AB239481_g 3,14
Oscillibacter 15,43
Catenibacterium 1,49
AB239481_g 7,16
Dialister 9,13
Eubacterium_g23 13,9
Bilophila 8,9
EU844239_g 1,9
Epulopiscium 1,44
EU844239_g 3,8
Pseudoflavonifractor 24,9
FJ848389_g 3,9
Prevotella 88,9
DQ394632_g 2,8
Christensenella 5,32
Pasteurellaceae 3,15
Butyricicoccus 6,9
AM500802_g 3,17
EU844456_g 2,9
EU844456_g 4,9
Bacteroides 15,42
GU303868_g 1,17
Parabacteroides 2,60
Prevotella 25,28
LLKB_g 3,23
AM405230_g 1,19
Eubacterium_g23 5,13
Bacteroides 50,8
Fusobacterium 2,28
Oscillibacter 16,17
Lachnospiraceae 8,28
Butyricimonas 6,28
Bilophila 7,28
Clostridium 18,27
Parabacteroides 28,61
Rothia 4,13
Prevotella 9,69
Prevotella 13,12
Bacteroides 30,12
Bacteroides 33,57
AB009176_g 3,16
Mitsuokella 1,12
Megasphaera 3,12
Romboutsia 2,50
Dialister 6,8
Coprococcus_g2 2,12
EU464362_g 3,3
Oscillibacter 19,81
Lactobacillus 2,35
JN713389_g 10,12
Actinomyces 1,44
Lachnospiraceae 13,33
Sanguibacteroides 1,23
EF400272_g 2,5
Synergistaceae 1,12
Parasutterella 13,8
GQ175418_g 1,8
Caproiciproducens 8,12
Citrobacter,12
Bacteroidaceae 1,17
CF231_g 1,12
Catenisphaera 2,12
Lachnospiraceae 23,1
Subdoligranulum 26,58
AY305316_g 12,12
Coriobacteriaceae 1,12
Campylobacter 1,1
Anaerococcus 1,58
Pseudomonas 2,12
Sporobacter 60,12
Actinomyces 7,24
Porphyromonas 11,12
Bacteroides 22,33
Sutterella 3,2
Prevotella 50,1
Blautia 17,2
Holdemanella 3,2
Prevotella 65,1
EF402988_g 2,2
Dorea 5,25
Pseudoflavonifractor 23,2
Bacteroides 77,19
Butyricicoccus 5,20
Lactobacillus 10,5
Clostridium_g27 1,2
Eubacterium_g1 1,1
Clostridium_g18 1,13
Adlercreutzia 1,2
Parabacteroides 14,2
Caproiciproducens 22,2
Caproiciproducens 25,5
Caproiciproducens 24,2
Blautia 55,2
Anaerotruncus 2,1
Caproiciproducens 18,2
Rothia 2,2
Anaerostipes 12,36
Dielma 2,14
Blautia 8,24
Bilophila 3,56
Eubacterium_g23 14,10
Butyricimonas 9,56
Caproiciproducens 17,45
AY858456_g 1,6
Parabacteroides 24,56
EU234093_g 2,43
Blautia 10,59
Prevotella 42,19
Butyricicoccus 4,11
AB009176_g 14,6
Ruminococcus_g2 6,55
Prevotella 62,1
Pseudoflavonifractor 27,13
Pseudoflavonifractor 29,18
Parabacteroides 13,5
Butyricimonas 8,46
Prevotella 103,27
Dialister 4,48
Subdoligranulum 6,25
LLKB_g 5,36
Hafnia 1,71
GU303868_g 2,48
Bacteroides_g1 1,48
Barnesiella 13,8
LLKB_g 6,48
EU794292_g,70
EU791177_g 1,48
DQ394632_g 1,37
AF371685_g 1,70
Oscillibacter 75,23
EU234093_f 1,35
Acidaminococcus 1,80
Bacteroides 27,33
Barnesiella 4,16
Butyrivibrio_g1 2,10
Veillonella 3,17
LARJ_g 6,7
Lachnospiraceae 11,60
Hungatella 1,58
Sporobacter 21,10
Parabacteroides 6,10
Bacteroides 65,10
Veillonella 4,17
EF402988_g 3,10
Weissella 1,10
AM500802_g 2,57
JN713389_g 28,14
Dielma 1,10
Lachnospiraceae 33,7
Butyricimonas 15,51
JPZU_g 4,15
Peptoniphilus 4,1
Neisseria 1,14
Rothia 5,10
Clostridium_g24 24,3
Bacteroides 40,32
AB185535_g 1,8
Alistipes 13,20
AB239481_g 5,51
Mogibacterium 1,5
Cloacibacillus 3,3
EU381695_g 1,11
EU464362_g 5,20
EF404788_g 3,6
AB009176_g 33,23
Victivallis 5,20
HM124151_g 12,3
HM124260_g 18,11
EU844075_g 2,79
Barnesiella 25,53
AM275436_g 6,20
HM124260_g 28,20
Oscillibacter 65,41
Prevotella 95,1
GQ135625_g 1,3
Actinomyces 6,20
Butyricicoccus 22,20
HM124260_g 36,51
EF401862_g 4,37
AM277985_g 3,45
Caproiciproducens 51,30
Megamonas 1,65
Agathobacter 3,34
EF401875_g 1,19
Bilophila 2,26
Lachnospira 6,52
Bacteroides 63,34
Oscillibacter 32,42
Pseudomonas 1,24
Murimonas 6,34
Ruminococcus_g4 32,34
Blautia 9,68
Caproiciproducens 2,37
Turicibacter 2,50
Bacteroides 35,60
Bilophila 4,5
DQ815907_g 5,32
Parabacteroides 4,50
Desulfovibrio 6,1
AB009176_g 27,68
JN713389_g 30,68
HQ716403_g 14,1
Eubacterium_g23 20,65
Pseudoflavonifractor 43,1
Christensenella 10,17
Blautia 13,33
Lachnospiraceae 12,62
Prevotella 59,26
Bulleidia 1,74
Lachnospiraceae 54,49
Anaerofilum 10,62
Caproiciproducens 54,62
JQ191148_g 1,23
Coprobacter 3,11
AB009176_g 10,39
AB009176_g 12,1
DQ815907_g 3,23
JN713389_g 17,11
HQ697740_g 1,25
EF445272_g 1,11
Clostridium_g6 1,30
AM275436_g 1,11
Erysipelotrichaceae 1,11
Subdoligranulum 22,41
Parabacteroides 9,50
Odoribacter 8,11
HM124151_g 10,25
Butyricimonas 10,66
FJ848448_g 3,3
HM124260_g 15,8
DQ353904_g 1,25
Caproiciproducens 15,3
AB009176_g 37,3
Sporobacter 47,3
Parabacteroides 12,11
FR893353_g 1,11
Odoribacter 12,32
Prevotella 105,33
Sporobacter 80,7
Prevotella 27,65
Prevotella 31,47
Bifidobacterium 5,44
Succiniclasticum 2,47
Prevotella 33,65
Blautia 14,24
Murimonas 4,30
Sporobacter 76,47
Butyricicoccus 19,47
Desulfovibrio 1,19
Bacteroides 39,35
Bacteroides 38,35
Streptococcus 2,35
Sutterella 8,19
JN713389_g 12,19
Sutterella 12,19
Sporobacter 35,7
Succinatimonas 1,53
Alistipes 27,19
Holdemania 2,19
Pseudoflavonifractor 37,33
Christensenella 3,17
Bacteroides 112,19
Lachnospiraceae 52,19
AB606326_g,19
DQ824928_g 1,38
Desulfovibrio 3,17
FJ363576_g,16
Fusobacterium 3,18
AJ518873_g 4,1
Bacteroides 19,60
Coprococcus_g1 3,60
Granulicatella 1,5
Ruminococcus 4,73
Faecalibacterium 7,16
Eubacterium_g4 4,24
JN713389_g 11,15
EF406806_g 5,64
Fusicatenibacter 3,73
AB009176_g 23,8
EU842423_g 3,8
Faecalibacterium 24,8
Sporobacter 29,73
EU845084_g 1,8
Clostridium_g24 7,7
Subdoligranulum 9,1
EU457152_g 1,46
Bilophila 6,8
Subdoligranulum 16,64
Butyricimonas 11,45
Odoribacter 10,8
Clostridium_g7 4,15
Ruminococcaceae 3,64
Faecalicoccus 1,8
HQ452860_g 2,25
Parabacteroides 15,16
Dorea 12,59
Parvimonas 1,58
AB009176_g 69,53
DQ905290_g 3,3
FJ462126_g 6,14
Clostridium_g7 28,8
Marvinbryantia 1,14
Pasteurellaceae 2,15
JN713389_g 23,46
Syntrophococcus 5,6
EU381695_g 2,15
Lactonifactor 3,15
GQ422712_g 2,36
AB009176_g 9,16
AY305316_g 5,33
Alistipes 18,7
AB009176_g 20,1
Bacteroides 76,5
JN713389_g 21,39
FR888536_g 11,16
Streptococcus 6,1
Dialister 13,26
Prevotella 80,1
Peptoniphilus 1,26
Peptostreptococcus 2,1
Mobiluncus,1
Holdemania 3,1
Corynebacterium 2,1
JRNA_g 1,1
Christensenella 13,1
Akkermansia 2,57
Prevotella 21,27
Succiniclasticum 3,27
Anaerostipes 3,37
Holdemanella 4,23
Dialister 14,27
Actinomyces 11,27
EF406806_g 1,7
EF406806_g 2,7
HQ716403_g 7,6
Sporobacter 36,76
AY305316_g 10,17
DQ905290_g 2,6
Actinomyces 5,41
DQ815907_g 7,35
AB239481_g 33,6
Pseudoflavonifractor 49,3
FJ880290_g 2,6
EF401862_g 3,3
GQ175418_g 14,76
Pediococcus 1,5
Eubacterium_g23 10,5
Sellimonas 1,5
Bifidobacterium 9,5
Lactobacillus 5,5
Bifidobacterium 7,44
Pediococcus 2,5
Sporobacter 25,5
Lachnospiraceae 19,18
Eubacterium_g5 8,13
Pseudoflavonifractor 36,7
Anaerostipes 6,5
AB185816_g 5,49
Eggerthella 2,13
Anaerofilum 3,3
Corynebacterium 3,33
BBZZ_g 1,26
KE993550_g 1,82
Christensenellaceae 10,37
Bacteroides 45,7
EU358717_g 2,38
Caproiciproducens 10,13
Romboutsia 7,25
EU864467_g 1,17
Lachnospiraceae 60,25
Prevotella 35,61
Ruminococcus 7,45
Roseburia 7,61
Parabacteroides 10,23
Pseudoflavonifractor 42,61
Clostridium_g21 2,26
Peptostreptococcus 1,26
Peptoniphilus 2,26
CP009312_g,26
GQ896819_g 2,3
Alloprevotella 6,3
HQ716403_g 9,6
Cloacibacillus 5,3
Cloacibacillus 4,3
Lachnospiraceae 15,3
HM124151_g 6,3
HM124260_g 14,3
AB239481_g 18,3
Comamonas 1,30
GU302849_g 8,7
Butyricicoccus 10,3
HM630235_g 1,3
JN713389_g 53,7
DQ394629_g 1,18
KE159538_g 6,43
Eubacterium_g5 5,14
Bacteroides 98,36
DQ815907_g 4,7
Clostridium 6,44
Coprobacter 5,17
Roseburia 11,50
HM124151_g 11,72
EU842486_g 2,72
Lactobacillus 3,57
Blautia 21,33
Blautia 49,82
Faecalibacterium 12,43
HM124260_g 7,14
FJ951890_g 2,30
EF404788_g 4,16
HM124260_g 22,53
GL872355_g 1,18
Lachnospira 8,52
GQ897982_g 2,16
EF603735_g 1,17
Eubacterium_g23 9,30
Fusicatenibacter 2,49
Eubacterium_g21 2,49
JQ084490_g,66
Barnesiella 10,67
JN713389_g 29,39
Alistipes 26,7
Dialister 3,36
AJ518873_g 3,42
Eubacterium_g1 3,6
JN713389_g 32,51
Anaerofustis 1,30
Ezakiella,39
Mitsuokella 2,69
DQ057459_g 4,69
Desulfovibrio 9,6
Prevotella 30,17
HQ792120_g 1,38
Clostridium_g24 14,52
Lachnospiraceae 39,14
JN162687_g 1,16
Romboutsia 8,30
FJ880290_g 1,7
Blautia 61,6
Ruminococcaceae 27,6
Eubacterium 2,39
Butyrivibrio_g1 4,51
Butyrivibrio_g1 6,51
EU381695_g 3,45
Pseudoflavonifractor 18,42
FR888536_g 2,16
AB009176_g 24,38
JN713389_g 46,39
Sporobacter 79,39
Bacteroides 86,45
Butyricicoccus 14,81
Parabacteroides 53,16
JN713389_g 9,51
Pseudoflavonifractor 41,7
HQ697740_g 2,7
AB009176_g 44,7
GQ175418_g 10,23
Clostridiales 8,7
Clostridium 8,38
Christensenella 12,46
