"","x"
"1",0.720100187852223
"2",0.0275709953129308
"3",0.955869021285854
"4",0
"5",2.62118313498472
"6",1.59318295421186
"7",1.64287789471711
"8",1.08563496242401
"9",3.46675473828878
"10",1.17945840031199
"11",0.188853563761854
"12",1.38125225927969
"13",0
"14",1.60139361121605
"15",0.191600245248314
"16",0
"17",1.12941176470588
"18",2.34766800401204
"19",0.175336060783168
"20",2.68641636747434
"21",1.4413898434517
"22",0.52061802397685
"23",0
"24",2.30987324883256
"25",0.0441974996843036
"26",2.4572733716626
"27",0
"28",0.795528668448719
"29",0
"30",0.19309678976587
"31",1.87375211181078
"32",1.67332060406179
"33",0.51009333622748
"34",0.835505896958411
"35",2.58551773467413
"36",2.3356315444376
"37",2.17599442945426
"38",1.11105448244228
"39",1.89156823254042
"40",0.332128553287096
"41",3.53275300745803
