"","x"
"1",14.1984971822167
"2",11.6763165150262
"3",6.00355368604272
"4",0
"5",10.7083405798902
"6",4.40822932948261
"7",5.17042632353355
"8",2.28327988128859
"9",4.26259548490886
"10",1.80247876499291
"11",3.76756066411239
"12",7.06036795342554
"13",0
"14",3.51760903328716
"15",17.4432863274065
"16",0.0145264381173736
"17",2.26705882352941
"18",5.76416750250752
"19",11.6598480420807
"20",6.60327998989662
"21",5.72874052255496
"22",2.55141587432823
"23",0
"24",10.2109739826551
"25",12.9688091930799
"26",12.8219264393164
"27",0.0387596899224806
"28",2.56180695000448
"29",18.4899184899185
"30",28.7714216751147
"31",6.00801440918166
"32",15.4556500607533
"33",16.767961797265
"34",1.84978274363749
"35",9.04405267808306
"36",4.44475352182638
"37",6.5889111323875
"38",1.97492482544213
"39",14.3078765445539
"40",31.9722574973137
"41",10.3373432773788
