"","x"
"1",0.391358797745773
"2",0.3584229390681
"3",5.9542372266744
"4",0
"5",5.02869636512708
"6",2.65636281409427
"7",1.89029361873612
"8",2.14829352352688
"9",4.38085294524999
"10",2.96196246658994
"11",4.62215700660308
"12",1.93299214246304
"13",0
"14",2.35066952105109
"15",0.206928264868179
"16",0
"17",1.38117647058824
"18",2.21602306920762
"19",0.935125657510228
"20",2.86863802839771
"21",10.2370043091693
"22",3.34461554361306
"23",0
"24",1.77409939959973
"25",0.195731784316202
"26",0.145703709537686
"27",0
"28",6.6520009720286
"29",0.343200343200343
"30",0.482741974414675
"31",2.46715348850198
"32",1.2601978823121
"33",0.293032342088127
"34",1.77405338299193
"35",1.03294483948332
"36",5.83361481452046
"37",2.90422723184495
"38",0.703328066867132
"39",1.47515105329051
"40",0.0879163817524665
"41",3.699000207809
