"","x"
"1",8.56293049467752
"2",7.69230769230769
"3",2.04663306378504
"4",0.148367952522255
"5",2.18142065641382
"6",1.11237176384712
"7",3.62595240996036
"8",0.54090278110191
"9",1.74403119440035
"10",0.647750944042308
"11",5.43463492839869
"12",2.13941896082647
"13",0.0312304809494066
"14",1.5027494438148
"15",6.33047210300429
"16",0.0145264381173736
"17",0.981176470588235
"18",1.60481444332999
"19",6.10753945061368
"20",1.61473650026161
"21",1.1618393061692
"22",0.879754030591153
"23",1.66666666666667
"24",2.1180787191461
"25",3.07488319232226
"26",2.14223832401355
"27",0
"28",0.977144538094568
"29",6.26340626340626
"30",6.20323437122858
"31",1.90446935954538
"32",3.48550598854366
"33",4.66681137399609
"34",1.20670391061453
"35",1.75453359700425
"36",2.44093862385503
"37",2.14988249630081
"38",1.10723204729626
"39",2.40052256273475
"40",10.93093679789
"41",3.03170241751137
